	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
3575	b'LS  IV -04   18'	18 45 10.5075	-04 46 22.936	14.0	14.0	0.0413	0.0431	90.0	A	O	b'2018yCat.1345....0G'	1.9952631000000003e-12	1.5135623e-12	6.9183122999999995e-12			2.9539277000000005e-11	1.1721960000000001e-09	1.9453579999999998e-09	2.9716631e-09						B	-0.7854899301569875	27.970859818339783	False	False
3576	b'EC 21214-5120'	21 24 53.6	-51 07 18	5.0	5.0			0.0	D	O	b'2015MNRAS.453.1879K'	4.6773525000000005e-16	5.888443e-17	6.918312e-17												B	-44.56214091992586	346.6206934506938	False	False
3577	b'LHA 120-S  71'	04 54 05.7441	-69 05 28.167	14.0	14.0	0.0231	0.0264	90.0	A	O	b'2018yCat.1345....0G'		4.7752916e-14	1.9364206e-13	4.677351999999999e-13	7.5857775e-12	7.1466124e-13	1.0616956000000001e-10	6.2661376e-10	1.3212965e-09		9.549915699999999e-14	6.918312e-13	2.2908658e-12		B	-35.56082526669829	280.4467796512479	False	False
3578	b'LS  IV +08    7'	19 37 02.7650	+08 09 51.255	14.0	14.0	0.04	0.0338	90.0	A	O	b'2018yCat.1345....0G'	1.2022642e-11	3.8904526e-12	2.8840318e-12			3.9728309999999995e-12	7.177942e-12	6.902394e-12	6.982322e-12						B	-6.281065608938758	45.46019054745842	False	False
3579	b'PG 1705+398'	17 06 43.6163	+39 43 56.757	14.0	14.0	0.0467	0.062	90.0	A	O	b'2018yCat.1345....0G'		9.7723673e-17				3.9682623e-17	5.058252000000001e-17	5.7942937e-17	2.7733189999999997e-16	6.20868e-17	5.3333403000000003e-17	2.5061103e-17	1.7458244000000002e-17	1.26182705e-17	B	36.399338702464654	63.90109349254407	False	False
3580	b'MAC 3-133'	00 44 12.38	+41 33 20.9	6.0	6.0			0.0	D		b''		1.4791086e-18	1.4454393000000001e-18												B	-21.295554329106416	121.4800011836163	False	False
3581	b'LS   V +30   32'	06 04 43.1467	+30 58 58.131	14.0	14.0	0.0344	0.03	90.0	A	O	b'2018yCat.1345....0G'		2.6915367e-12	3.8904526e-12			4.675196e-12	1.3614441e-11	1.4859353e-11	1.3551893e-11						B	4.604002593555772	180.3144879799052	False	False
3582	b'SDSS J090141.49+345924.5'	09 01 41.49	+34 59 24.5	6.0	6.0			0.0	D	O	b'2015MNRAS.446.4078K'										1.5135623e-19	8.1283026e-20	2.9512046000000004e-20	1.1748966999999999e-20	5.7544023e-21	B	40.837443793527896	188.80237591560314	False	False
3583	b'SK   76'	00 58 55.6261	-72 32 08.470	14.0	14.0	0.0371	0.0293	90.0	A	O	b'2018yCat.1345....0G'	2.2908658e-12	2.2387231e-13	1.7782793999999998e-13		1.4454392e-13	1.7968026999999999e-13	1.1402503e-13	1.01391036e-13	9.954057400000001e-14						B	-44.5810945107665	302.14314304885363	False	False
3584	b'SDSS J092702.62+462857.2'	09 27 02.6321	+46 28 57.212	14.0	14.0	0.3261	0.27399999999999997	90.0	A	O	b'2018yCat.1345....0G'						1.915137e-20				3.548127999999999e-21	3.0199485e-20	1.5922074999999998e-20	1.1428798000000001e-20	9.794882e-21	B	45.68472758413402	173.02190332350347	False	False
3585	b'SDSS J145514.97+100919.3'	14 55 14.9838	+10 09 19.322	14.0	14.0	1.3885	1.6024	90.0	A	O	b'2018yCat.1345....0G'						3.4142898000000006e-21				3.9810753e-22	4.57088e-21	2.8183879999999996e-21	1.9952588e-21	5.6234133e-21	B	56.27225887704977	8.687665902895958	False	False
3586	b'PG 1440+174'	14 42 32.0177	+17 10 41.088	14.0	14.0	0.0473	0.0413	90.0	A	O	b'2018yCat.1345....0G'		2.1877624e-16	2.6915367000000002e-16	2.1379617000000004e-16		3.2598664e-16	8.0537867e-16	1.3091808e-15	1.6481624e-15	1.6788055e-16	3.2809514e-16	2.6668565e-16	2.3227377000000004e-16	1.8923455000000001e-16	B	62.498589882645156	17.534934224017658	False	False
3587	b'FBS 2314+420'	23 16 36.6249	+42 21 27.895	14.0	14.0	0.0418	0.0338	90.0	A	O	b'2018yCat.1345....0G'		7.079464299999999e-16	5.623412999999999e-16			3.265878e-16	1.8113417e-16	2.0701412e-16	1.4859355e-16						B	-17.153895677394065	104.81645947680398	False	False
3588	b'LS  IV -08   16'	18 39 48.5356	-08 56 09.012	14.0	14.0	0.0372	0.0365	90.0	A	O	b'2018yCat.1345....0G'				3.0199484e-12		4.582478e-12	4.8865252e-11	6.471424000000001e-11	7.2610605e-11						B	-1.5033573132338212	23.65872230843535	False	False
3589	b'SDSS J153540.30+173458.8'	15 35 40.3052	+17 34 58.868	14.0	14.0	0.1259	0.1188	90.0	A	O	b'2018yCat.1345....0G'						9.120089e-19				2.5526987999999996e-18	1.7298198e-18	6.223011600000001e-19	2.8840254e-19	1.2302692000000001e-19	B	51.03045638922618	27.55693127089429	False	False
3590	b'EC 04064-5510'	04 07 37.6	-55 02 37	5.0	5.0			0.0	D	O	b'2015MNRAS.453.1879K'	5.623412999999999e-16	1.4125364000000001e-16	1.04712966e-16												B	-45.06758094194208	265.1480286422256	False	False
3591	b'LS  IV -14   84'	18 30 12.5650	-14 03 18.352	14.0	14.0	0.0497	0.0443	90.0	A	O	b'2018yCat.1345....0G'		2.3442281e-12	3.0902939e-12			3.780938e-12									B	-1.7697694866948437	18.02948774203432	False	False
3592	b'SDSS J090714.74+040209.7'	09 07 14.7438	+04 02 09.873	14.0	14.0	0.1348	0.1086	90.0	A	O	b'2018yCat.1345....0G'						2.0077056999999998e-18	1.1481522e-18	1.2589265e-18	1.2589265e-18	1.109175e-18	3.1260853e-18	1.4859387e-18	8.609926999999999e-19	5.457572e-19	B	31.86486425808355	225.95566617986165	False	False
3593	b'Cl* NGC 2100      E      15'			0.0	0.0			0.0			b''															B			True	False
3594	b'EC 04119-1615'	04 14 11.0	-16 07 33	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	1.1481546999999999e-16	1.8197019e-17	2.5703949999999998e-17												B	-41.938156548850344	210.59464357967246	False	False
3595	b'EM* GGA  311'	04 57 47.2563	+45 14 51.460	14.0	14.0	0.0688	0.0558	90.0	A	O	b'2018yCat.1345....0G'		1.9498444e-13	5.495406e-13	1.0715186e-12		2.7058245e-12	1.5488151e-09	1.2764386999999999e-08	2.7669412000000003e-08						B	1.4713441294407965	161.20733247556592	False	False
3596	b'SDSS J100715.16+354338.8'	10 07 15.1680	+35 43 38.783	14.0	14.0	0.3078	0.2896	90.0	A	O	b'2018yCat.1345....0G'						6.974292e-20				1.0964805000000001e-20	1.0690532e-19	5.7942936e-20	3.2734025e-20	2.8379132e-20	B	54.20885015981946	188.64808449213317	False	False
3597	b'BD-09  1870'	07 09 12.3065	-09 21 16.970	14.0	14.0	0.0367	0.0403	90.0	A	O	b'2018yCat.1345....0G'	4.1686928000000004e-11	1.4791087e-11	3.2359383000000004e-11			3.280195e-11	1.4689257e-10	1.5346165e-10	1.8879913999999998e-10						B	-0.35000474097031864	223.2732688461148	False	False
3598	b'Ton S 6'	20 48 34.2134	-28 05 52.348	14.0	14.0	0.055	0.0369	90.0	A	O	b'2018yCat.1345....0G'	3.5481355e-15	4.786304000000001e-16	3.5481355000000004e-16	2.2387232000000005e-16		4.1399932e-16									B	-36.781841519731564	16.808742844533775	False	False
