	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
529	b'SDSS J222651.50+294719.3'	22 26 51.5049	+29 47 19.345	14.0	14.0	0.2809000015258789	0.3736999928951264	90.0	A	O	b'2018yCat.1345....0G'	B	-23.402693634621887	89.02980014337301	-1.0
530	b'EC 09227-0921'	09 25 14.1259	-09 34 53.797	14.0	14.0	0.05480000004172325	0.05319999903440476	90.0	A	O	b'2018yCat.1345....0G'	B	28.020995154404826	241.9132376332795	-1.0
531	b'SDSS J202031.19+140849.6'	20 20 31.2005	+14 08 49.654	14.0	14.0	0.061500001698732376	0.05710000172257424	90.0	A	O	b'2018yCat.1345....0G'	B	-12.451322268978714	56.15847657813506	-1.0
532	b'SDSS J212504.92-000207.0'	21 25 04.9236	-00 02 07.024	14.0	14.0	0.12710000574588776	0.10869999974966048	90.0	A	O	b'2018yCat.1345....0G'	B	-33.58883042361947	52.773999767453404	-1.0
533	b'KUV 02075-0834'	02 09 57.4124	-08 19 57.931	14.0	14.0	0.07419999688863754	0.06689999997615814	90.0	A	O	b'2018yCat.1345....0G'	B	-63.5723889545344	171.2493791900275	-1.0
534	b'EC 13506-3137'	13 53 29.9178	-31 52 35.455	14.0	14.0	0.04639999940991402	0.049400001764297485	90.0	A	O	b'2018yCat.1345....0G'	B	29.171559337048908	318.01080776357486	-1.0
535	b'PG 2325+236'	23 27 47.5034	+23 50 14.102	14.0	14.0	0.04320000112056732	0.03390000015497208	90.0	A	O	b'2018yCat.1345....0G'	B	-35.181434811190854	99.38840805323942	-1.0
536	b'EC 13503-1802'	13 53 03.2998	-18 16 51.795	14.0	14.0	0.05249999836087227	0.04780000075697899	90.0	A	O	b'2018yCat.1345....0G'	B	42.19676574688154	322.8363588894298	-1.0
537	b'HD 223387'	23 48 54.6335	+57 12 34.500	14.0	14.0	0.02630000002682209	0.02380000054836273	90.0	A	O	b'2018yCat.1345....0G'	B	-4.636581020402766	114.51314870322388	-1.0
538	b'SDSS J134122.96+031751.5'	13 41 22.9618	+03 17 51.588	14.0	14.0	0.1598999947309494	0.14190000295639038	90.0	A	O	b'2018yCat.1345....0G'	B	63.345645342722165	331.6923274396728	-1.0
539	b'FBS 0002+412'	00 04 39.6947	+41 32 34.026	14.0	14.0	0.05000000074505806	0.030099999159574512	90.0	A	O	b'2018yCat.1345....0G'	B	-20.48095221458502	113.61246246314806	-1.0
540	b'EM* MWC  473'	04 36 55.5475	+53 52 33.750	14.0	14.0	0.05539999902248383	0.035900000482797616	90.0	A	O	b'2018yCat.1345....0G'	B	4.459338974392924	152.42816106186584	-1.0
541	b'SDSS J112606.24-000645.2'	11 26 06.2439	-00 06 45.251	14.0	14.0	0.2840000092983246	0.19740000367164606	90.0	A	O	b'2018yCat.1345....0G'	B	55.904836004097966	262.4676593487952	-1.0
542	b'LS III +59   33'	23 00 00.5299	+59 19 18.600	14.0	14.0	0.024399999529123303	0.022500000894069668	90.0	A	O	b'2018yCat.1345....0G'	B	-0.5326334636924898	109.1386856955674	-1.0
543	b'LS  IV -02   27'	19 14 59.6325	-02 37 12.078	14.0	14.0	0.05990000069141387	0.04520000144839287	90.0	A	O	b'2018yCat.1345....0G'	B	-6.43422550333055	33.280907045099994	-1.0
544	b'LS  IV +04    4'	18 44 10.0736	+04 37 45.103	14.0	14.0	0.03790000081062317	0.04679999873042106	90.0	A	O	b'2018yCat.1345....0G'	B	3.7231723825112684	36.230241172085705	-1.0
